event_id,createdAt,createdBy,request_request,status
5,2025-04-08T14:27:16,Amanda Freitas,4544337284,COMPLETED
6,2025-04-08T12:57:16,Amanda Freitas,4544337284,COMPLETED
7,2025-04-08T15:55:16,Sofia Martins,4544337284,NOT_COMPLETED
1,2025-06-19T17:13:52,Sofia Martins,4564032098,COMPLETED
2,2025-06-19T17:44:52,Rafael Duarte,4564032098,COMPLETED
3,2025-06-19T20:26:52,Kelly Santos,4564032098,NOT_COMPLETED
1,2025-10-22T14:19:38,Fábio Fernandes,4527085017,COMPLETED
2,2025-10-22T15:13:38,Marcos Oliveira,4527085017,COMPLETED
3,2025-10-22T18:16:38,Bruna Costa,4527085017,COMPLETED
4,2025-10-22T15:45:38,Ana Lima,4527085017,COMPLETED
5,2025-10-22T19:03:38,Amanda Freitas,4527085017,NOT_COMPLETED
1,2025-10-21T09:44:28,Carla Mendes,4564336923,COMPLETED
2,2025-10-21T11:48:28,Caio Gonçalves,4564336923,COMPLETED
3,2025-10-21T10:29:28,Daniel Souza,4564336923,COMPLETED
4,2025-10-21T13:14:28,Paulo Henrique,4564336923,COMPLETED
5,2025-10-21T12:56:28,Amanda Freitas,4564336923,COMPLETED
6,2025-10-21T17:20:28,Bruna Costa,4564336923,NOT_COMPLETED
1,2025-07-16T11:09:35,Carla Mendes,4549439869,COMPLETED
2,2025-07-16T12:03:35,Rafael Duarte,4549439869,COMPLETED
3,2025-07-16T11:59:35,Gabriel Rocha,4549439869,NOT_COMPLETED
1,2025-04-12T22:25:17,Daniel Souza,4564109496,COMPLETED
2,2025-04-12T23:30:17,Caio Gonçalves,4564109496,COMPLETED
3,2025-04-13T01:05:17,Fábio Fernandes,4564109496,COMPLETED
4,2025-04-13T00:32:17,Rafael Duarte,4564109496,NOT_COMPLETED
1,2025-09-02T16:21:27,Tiago Nunes,4558585106,COMPLETED
2,2025-09-02T16:28:27,Bruna Costa,4558585106,NOT_COMPLETED
1,2025-08-12T14:46:44,Carla Mendes,4595123555,NOT_COMPLETED
1,2025-08-15T21:51:14,Kelly Santos,4566833216,COMPLETED
2,2025-08-15T23:53:14,Carla Mendes,4566833216,COMPLETED
3,2025-08-16T01:27:14,Sofia Martins,4566833216,COMPLETED
4,2025-08-16T02:21:14,Sofia Martins,4566833216,COMPLETED
5,2025-08-15T23:47:14,Paulo Henrique,4566833216,COMPLETED
6,2025-08-16T03:27:14,Sofia Martins,4566833216,COMPLETED
7,2025-08-15T21:46:14,Carla Mendes,4566833216,COMPLETED
8,2025-08-15T22:33:14,Marcos Oliveira,4566833216,COMPLETED
9,2025-08-16T09:24:14,Sofia Martins,4566833216,NOT_COMPLETED
1,2025-01-11T17:49:50,Julia Ribeiro,4529433344,COMPLETED
2,2025-01-11T20:03:50,Ana Lima,4529433344,COMPLETED
3,2025-01-11T21:11:50,Ana Lima,4529433344,COMPLETED
4,2025-01-11T17:51:50,Ana Lima,4529433344,COMPLETED
5,2025-01-12T00:26:50,Daniel Souza,4529433344,NOT_COMPLETED
1,2025-07-23T18:43:55,Gabriel Rocha,4539633098,COMPLETED
2,2025-07-23T18:53:55,Bruna Costa,4539633098,COMPLETED
3,2025-07-23T21:18:55,Rafael Duarte,4539633098,COMPLETED
4,2025-07-23T18:31:55,Amanda Freitas,4539633098,COMPLETED
5,2025-07-23T22:42:55,Julia Ribeiro,4539633098,COMPLETED
6,2025-07-24T00:51:55,Carla Mendes,4539633098,NOT_COMPLETED
1,2025-04-16T18:09:07,Julia Ribeiro,4548826971,COMPLETED
2,2025-04-16T18:43:07,Carla Mendes,4548826971,COMPLETED
3,2025-04-16T18:57:07,Amanda Freitas,4548826971,COMPLETED
4,2025-04-16T23:17:07,Sofia Martins,4548826971,COMPLETED
5,2025-04-16T21:12:07,Rafael Duarte,4548826971,COMPLETED
6,2025-04-16T22:21:07,Julia Ribeiro,4548826971,COMPLETED
7,2025-04-16T18:53:07,Caio Gonçalves,4548826971,COMPLETED
8,2025-04-16T23:09:07,Amanda Freitas,4548826971,COMPLETED
9,2025-04-16T18:42:07,Ana Lima,4548826971,COMPLETED
10,2025-04-16T23:47:07,Bruna Costa,4548826971,COMPLETED
11,2025-04-17T06:03:07,Tiago Nunes,4548826971,NOT_COMPLETED
1,2025-02-14T18:37:38,Carla Mendes,4587362425,COMPLETED
2,2025-02-14T20:43:38,Caio Gonçalves,4587362425,COMPLETED
3,2025-02-14T21:01:38,Ana Lima,4587362425,COMPLETED
4,2025-02-14T21:31:38,Julia Ribeiro,4587362425,COMPLETED
5,2025-02-15T00:22:38,Bruna Costa,4587362425,COMPLETED
6,2025-02-14T21:25:38,Gabriel Rocha,4587362425,COMPLETED
7,2025-02-14T20:55:38,Caio Gonçalves,4587362425,NOT_COMPLETED
1,2025-06-02T17:28:33,Tiago Nunes,4580421551,COMPLETED
2,2025-06-02T16:46:33,Julia Ribeiro,4580421551,COMPLETED
3,2025-06-02T19:34:33,Caio Gonçalves,4580421551,COMPLETED
4,2025-06-02T19:20:33,Caio Gonçalves,4580421551,COMPLETED
5,2025-06-02T19:11:33,Fábio Fernandes,4580421551,NOT_COMPLETED
1,2025-10-22T08:00:15,Fábio Fernandes,4582225339,COMPLETED
2,2025-10-22T09:21:15,Caio Gonçalves,4582225339,COMPLETED
3,2025-10-22T10:31:15,Kelly Santos,4582225339,COMPLETED
4,2025-10-22T10:49:15,Kelly Santos,4582225339,COMPLETED
5,2025-10-22T14:25:15,Tiago Nunes,4582225339,COMPLETED
6,2025-10-22T08:43:15,Sofia Martins,4582225339,COMPLETED
7,2025-10-22T13:29:15,Sofia Martins,4582225339,NOT_COMPLETED
1,2025-09-05T05:00:38,Amanda Freitas,4590137542,COMPLETED
2,2025-09-05T07:10:38,Kelly Santos,4590137542,COMPLETED
3,2025-09-05T04:49:38,Rafael Duarte,4590137542,COMPLETED
4,2025-09-05T10:16:38,Julia Ribeiro,4590137542,COMPLETED
5,2025-09-05T05:51:38,Caio Gonçalves,4590137542,NOT_COMPLETED
1,2025-07-26T03:54:24,Tiago Nunes,4571833350,COMPLETED
2,2025-07-26T05:44:24,Sofia Martins,4571833350,COMPLETED
3,2025-07-26T07:14:24,Julia Ribeiro,4571833350,COMPLETED
4,2025-07-26T08:16:24,Paulo Henrique,4571833350,COMPLETED
5,2025-07-26T10:06:24,Amanda Freitas,4571833350,COMPLETED
6,2025-07-26T05:20:24,Amanda Freitas,4571833350,NOT_COMPLETED
1,2025-11-12T20:33:03,Caio Gonçalves,4502636804,COMPLETED
2,2025-11-12T20:37:03,Amanda Freitas,4502636804,COMPLETED
3,2025-11-12T22:45:03,Tiago Nunes,4502636804,COMPLETED
4,2025-11-12T21:29:03,Daniel Souza,4502636804,COMPLETED
5,2025-11-12T21:25:03,Sofia Martins,4502636804,COMPLETED
6,2025-11-12T21:09:03,Paulo Henrique,4502636804,COMPLETED
7,2025-11-12T21:02:03,Carla Mendes,4502636804,COMPLETED
8,2025-11-13T03:13:03,Ana Lima,4502636804,COMPLETED
9,2025-11-13T08:30:03,Ana Lima,4502636804,COMPLETED
10,2025-11-13T05:15:03,Fábio Fernandes,4502636804,COMPLETED
11,2025-11-13T10:58:03,Rafael Duarte,4502636804,NOT_COMPLETED
1,2025-09-22T18:29:20,Gabriel Rocha,4554269381,COMPLETED
2,2025-09-22T19:32:20,Ana Lima,4554269381,COMPLETED
3,2025-09-22T18:50:20,Gabriel Rocha,4554269381,COMPLETED
4,2025-09-22T22:56:20,Bruna Costa,4554269381,COMPLETED
5,2025-09-22T19:24:20,Amanda Freitas,4554269381,COMPLETED
6,2025-09-22T23:50:20,Tiago Nunes,4554269381,COMPLETED
7,2025-09-22T19:15:20,Rafael Duarte,4554269381,COMPLETED
8,2025-09-23T02:32:20,Amanda Freitas,4554269381,COMPLETED
9,2025-09-22T21:38:20,Caio Gonçalves,4554269381,COMPLETED
10,2025-09-23T02:54:20,Marcos Oliveira,4554269381,COMPLETED
11,2025-09-23T04:11:20,Sofia Martins,4554269381,NOT_COMPLETED
1,2025-08-21T18:38:05,Amanda Freitas,4570744888,COMPLETED
2,2025-08-21T20:24:05,Paulo Henrique,4570744888,COMPLETED
3,2025-08-21T21:55:05,Gabriel Rocha,4570744888,COMPLETED
4,2025-08-21T21:42:05,Gabriel Rocha,4570744888,COMPLETED
5,2025-08-22T00:12:05,Bruna Costa,4570744888,COMPLETED
6,2025-08-21T22:04:05,Kelly Santos,4570744888,COMPLETED
7,2025-08-22T00:12:05,Kelly Santos,4570744888,COMPLETED
8,2025-08-21T19:42:05,Daniel Souza,4570744888,COMPLETED
9,2025-08-21T20:37:05,Paulo Henrique,4570744888,COMPLETED
10,2025-08-22T05:22:05,Ana Lima,4570744888,NOT_COMPLETED
1,2025-07-09T09:27:56,Fábio Fernandes,4535236017,COMPLETED
2,2025-07-09T09:30:56,Daniel Souza,4535236017,COMPLETED
3,2025-07-09T12:33:56,Daniel Souza,4535236017,COMPLETED
4,2025-07-09T12:16:56,Rafael Duarte,4535236017,COMPLETED
5,2025-07-09T14:17:56,Tiago Nunes,4535236017,COMPLETED
6,2025-07-09T10:24:56,Bruna Costa,4535236017,COMPLETED
7,2025-07-09T10:15:56,Ana Lima,4535236017,COMPLETED
8,2025-07-09T16:40:56,Julia Ribeiro,4535236017,COMPLETED
9,2025-07-09T15:48:56,Sofia Martins,4535236017,COMPLETED
10,2025-07-09T23:02:56,Daniel Souza,4535236017,COMPLETED
11,2025-07-09T12:52:56,Rafael Duarte,4535236017,COMPLETED
1,2025-05-04T09:01:05,Fábio Fernandes,4518391803,COMPLETED
2,2025-05-04T11:04:05,Carla Mendes,4518391803,COMPLETED
3,2025-05-04T11:59:05,Ana Lima,4518391803,NOT_COMPLETED
1,2025-05-23T19:49:22,Marcos Oliveira,4500541131,COMPLETED
2,2025-05-23T21:12:22,Fábio Fernandes,4500541131,COMPLETED
3,2025-05-23T22:14:22,Ana Lima,4500541131,COMPLETED
4,2025-05-23T20:56:22,Caio Gonçalves,4500541131,COMPLETED
5,2025-05-23T21:04:22,Rafael Duarte,4500541131,COMPLETED
6,2025-05-24T04:38:22,Rafael Duarte,4500541131,COMPLETED
7,2025-05-24T01:48:22,Caio Gonçalves,4500541131,COMPLETED
8,2025-05-23T23:52:22,Kelly Santos,4500541131,NOT_COMPLETED
1,2025-04-27T06:41:50,Tiago Nunes,4512286905,COMPLETED
2,2025-04-27T09:08:50,Caio Gonçalves,4512286905,COMPLETED
3,2025-04-27T08:15:50,Ana Lima,4512286905,COMPLETED
4,2025-04-27T07:24:50,Ana Lima,4512286905,COMPLETED
5,2025-04-27T10:11:50,Gabriel Rocha,4512286905,COMPLETED
6,2025-04-27T09:06:50,Daniel Souza,4512286905,COMPLETED
7,2025-04-27T10:13:50,Bruna Costa,4512286905,NOT_COMPLETED
1,2025-09-22T08:22:14,Bruna Costa,4584551382,NOT_COMPLETED
1,2025-04-09T04:51:49,Gabriel Rocha,4508898116,COMPLETED
2,2025-04-09T05:13:49,Daniel Souza,4508898116,NOT_COMPLETED
1,2025-10-16T09:23:26,Bruna Costa,4564644588,COMPLETED
2,2025-10-16T09:39:26,Paulo Henrique,4564644588,COMPLETED
3,2025-10-16T12:23:26,Tiago Nunes,4564644588,COMPLETED
4,2025-10-16T13:35:26,Amanda Freitas,4564644588,COMPLETED
5,2025-10-16T15:47:26,Gabriel Rocha,4564644588,COMPLETED
6,2025-10-16T13:53:26,Ana Lima,4564644588,COMPLETED
7,2025-10-16T10:32:26,Bruna Costa,4564644588,COMPLETED
8,2025-10-16T11:11:26,Julia Ribeiro,4564644588,COMPLETED
9,2025-10-16T15:05:26,Caio Gonçalves,4564644588,COMPLETED
10,2025-10-16T15:37:26,Kelly Santos,4564644588,NOT_COMPLETED
1,2025-01-19T15:41:31,Bruna Costa,4535658239,COMPLETED
2,2025-01-19T16:39:31,Sofia Martins,4535658239,COMPLETED
3,2025-01-19T19:17:31,Gabriel Rocha,4535658239,COMPLETED
4,2025-01-19T16:15:31,Amanda Freitas,4535658239,COMPLETED
5,2025-01-19T17:49:31,Fábio Fernandes,4535658239,COMPLETED
6,2025-01-19T23:17:31,Julia Ribeiro,4535658239,COMPLETED
7,2025-01-19T19:11:31,Julia Ribeiro,4535658239,COMPLETED
8,2025-01-19T15:47:31,Julia Ribeiro,4535658239,COMPLETED
9,2025-01-19T20:50:31,Caio Gonçalves,4535658239,COMPLETED
10,2025-01-19T18:29:31,Marcos Oliveira,4535658239,NOT_COMPLETED
1,2025-06-11T05:34:53,Daniel Souza,4580084170,COMPLETED
2,2025-06-11T07:16:53,Rafael Duarte,4580084170,COMPLETED
3,2025-06-11T06:47:53,Marcos Oliveira,4580084170,COMPLETED
4,2025-06-11T09:00:53,Ana Lima,4580084170,COMPLETED
5,2025-06-11T11:45:53,Daniel Souza,4580084170,COMPLETED
6,2025-06-11T09:14:53,Kelly Santos,4580084170,COMPLETED
7,2025-06-11T10:31:53,Ana Lima,4580084170,NOT_COMPLETED
1,2025-05-21T06:55:09,Bruna Costa,4503891645,NOT_COMPLETED
1,2025-12-01T20:25:41,Bruna Costa,4507628851,COMPLETED
2,2025-12-01T20:02:41,Tiago Nunes,4507628851,COMPLETED
3,2025-12-01T20:17:41,Bruna Costa,4507628851,COMPLETED
4,2025-12-02T00:48:41,Bruna Costa,4507628851,COMPLETED
5,2025-12-02T02:42:41,Amanda Freitas,4507628851,COMPLETED
6,2025-12-02T04:14:41,Carla Mendes,4507628851,COMPLETED
7,2025-12-02T00:19:41,Tiago Nunes,4507628851,NOT_COMPLETED
1,2025-10-16T04:26:02,Fábio Fernandes,4539150172,COMPLETED
2,2025-10-16T05:17:02,Sofia Martins,4539150172,COMPLETED
3,2025-10-16T07:19:02,Tiago Nunes,4539150172,COMPLETED
4,2025-10-16T08:01:02,Carla Mendes,4539150172,COMPLETED
5,2025-10-16T08:01:02,Sofia Martins,4539150172,COMPLETED
6,2025-10-16T07:13:02,Fábio Fernandes,4539150172,NOT_COMPLETED
1,2025-04-16T21:55:52,Marcos Oliveira,4558458363,COMPLETED
2,2025-04-16T21:32:52,Gabriel Rocha,4558458363,COMPLETED
3,2025-04-16T22:12:52,Gabriel Rocha,4558458363,COMPLETED
4,2025-04-17T01:42:52,Sofia Martins,4558458363,COMPLETED
5,2025-04-16T21:25:52,Gabriel Rocha,4558458363,NOT_COMPLETED
1,2025-11-10T01:02:53,Sofia Martins,4572960021,COMPLETED
2,2025-11-10T02:24:53,Paulo Henrique,4572960021,COMPLETED
3,2025-11-10T01:17:53,Bruna Costa,4572960021,COMPLETED
4,2025-11-10T04:38:53,Julia Ribeiro,4572960021,COMPLETED
5,2025-11-10T03:10:53,Ana Lima,4572960021,COMPLETED
6,2025-11-10T06:26:53,Carla Mendes,4572960021,COMPLETED
7,2025-11-10T08:53:53,Marcos Oliveira,4572960021,COMPLETED
8,2025-11-10T10:58:53,Caio Gonçalves,4572960021,COMPLETED
9,2025-11-10T05:02:53,Amanda Freitas,4572960021,NOT_COMPLETED
1,2025-09-25T04:31:24,Caio Gonçalves,4567000357,COMPLETED
2,2025-09-25T05:53:24,Bruna Costa,4567000357,COMPLETED
3,2025-09-25T04:44:24,Caio Gonçalves,4567000357,COMPLETED
4,2025-09-25T04:45:24,Ana Lima,4567000357,COMPLETED
5,2025-09-25T05:41:24,Rafael Duarte,4567000357,COMPLETED
6,2025-09-25T07:17:24,Bruna Costa,4567000357,COMPLETED
7,2025-09-25T07:18:24,Ana Lima,4567000357,COMPLETED
8,2025-09-25T11:41:24,Gabriel Rocha,4567000357,COMPLETED
9,2025-09-25T16:53:24,Marcos Oliveira,4567000357,COMPLETED
10,2025-09-25T14:31:24,Gabriel Rocha,4567000357,NOT_COMPLETED
1,2025-09-10T04:05:51,Bruna Costa,4545851684,COMPLETED
2,2025-09-10T06:07:51,Gabriel Rocha,4545851684,COMPLETED
3,2025-09-10T05:31:51,Kelly Santos,4545851684,COMPLETED
4,2025-09-10T04:15:51,Gabriel Rocha,4545851684,COMPLETED
5,2025-09-10T08:06:51,Julia Ribeiro,4545851684,COMPLETED
6,2025-09-10T08:13:51,Caio Gonçalves,4545851684,COMPLETED
7,2025-09-10T12:23:51,Tiago Nunes,4545851684,COMPLETED
8,2025-09-10T08:43:51,Kelly Santos,4545851684,COMPLETED
9,2025-09-10T16:52:51,Amanda Freitas,4545851684,COMPLETED
10,2025-09-10T18:31:51,Sofia Martins,4545851684,NOT_COMPLETED
1,2025-01-01T22:38:30,Julia Ribeiro,4574162213,COMPLETED
2,2025-01-01T23:00:30,Amanda Freitas,4574162213,COMPLETED
3,2025-01-02T01:22:30,Carla Mendes,4574162213,COMPLETED
4,2025-01-02T02:16:30,Gabriel Rocha,4574162213,NOT_COMPLETED
1,2025-11-10T10:40:07,Kelly Santos,4545499487,COMPLETED
2,2025-11-10T10:55:07,Fábio Fernandes,4545499487,COMPLETED
3,2025-11-10T13:12:07,Rafael Duarte,4545499487,COMPLETED
4,2025-11-10T14:25:07,Tiago Nunes,4545499487,NOT_COMPLETED
1,2025-08-29T00:19:37,Marcos Oliveira,4503637426,COMPLETED
2,2025-08-29T01:59:37,Daniel Souza,4503637426,COMPLETED
3,2025-08-29T01:28:37,Ana Lima,4503637426,COMPLETED
4,2025-08-29T03:21:37,Tiago Nunes,4503637426,COMPLETED
5,2025-08-29T05:22:37,Amanda Freitas,4503637426,COMPLETED
6,2025-08-29T08:31:37,Bruna Costa,4503637426,COMPLETED
7,2025-08-29T06:30:37,Amanda Freitas,4503637426,COMPLETED
8,2025-08-29T04:49:37,Fábio Fernandes,4503637426,NOT_COMPLETED
1,2025-04-05T20:35:16,Rafael Duarte,4520548466,COMPLETED
2,2025-04-05T21:13:16,Bruna Costa,4520548466,COMPLETED
3,2025-04-05T21:59:16,Caio Gonçalves,4520548466,COMPLETED
4,2025-04-05T19:57:16,Gabriel Rocha,4520548466,COMPLETED
5,2025-04-06T00:42:16,Paulo Henrique,4520548466,COMPLETED
6,2025-04-06T03:11:16,Paulo Henrique,4520548466,COMPLETED
7,2025-04-06T03:20:16,Sofia Martins,4520548466,COMPLETED
8,2025-04-06T06:21:16,Amanda Freitas,4520548466,COMPLETED
9,2025-04-06T01:17:16,Amanda Freitas,4520548466,COMPLETED
10,2025-04-05T20:27:16,Rafael Duarte,4520548466,NOT_COMPLETED
1,2025-12-24T01:03:18,Marcos Oliveira,4582753030,COMPLETED
2,2025-12-24T00:50:18,Julia Ribeiro,4582753030,COMPLETED
3,2025-12-24T02:59:18,Amanda Freitas,4582753030,COMPLETED
4,2025-12-24T01:00:18,Sofia Martins,4582753030,COMPLETED
5,2025-12-24T07:00:18,Julia Ribeiro,4582753030,COMPLETED
6,2025-12-24T02:32:18,Carla Mendes,4582753030,COMPLETED
7,2025-12-24T03:57:18,Paulo Henrique,4582753030,COMPLETED
8,2025-12-24T05:56:18,Kelly Santos,4582753030,COMPLETED
9,2025-12-24T08:26:18,Fábio Fernandes,4582753030,COMPLETED
10,2025-12-24T08:50:18,Tiago Nunes,4582753030,NOT_COMPLETED
1,2025-01-10T09:57:25,Rafael Duarte,4534932797,COMPLETED
2,2025-01-10T09:49:25,Bruna Costa,4534932797,COMPLETED
3,2025-01-10T10:44:25,Caio Gonçalves,4534932797,COMPLETED
4,2025-01-10T13:29:25,Marcos Oliveira,4534932797,COMPLETED
5,2025-01-10T11:12:25,Amanda Freitas,4534932797,COMPLETED
6,2025-01-10T16:23:25,Kelly Santos,4534932797,COMPLETED
7,2025-01-10T13:22:25,Gabriel Rocha,4534932797,COMPLETED
8,2025-01-10T17:49:25,Marcos Oliveira,4534932797,COMPLETED
9,2025-01-10T13:38:25,Sofia Martins,4534932797,COMPLETED
10,2025-01-10T22:37:25,Gabriel Rocha,4534932797,COMPLETED
11,2025-01-10T17:10:25,Caio Gonçalves,4534932797,COMPLETED
1,2025-04-14T06:22:31,Tiago Nunes,4518109659,COMPLETED
2,2025-04-14T06:12:31,Tiago Nunes,4518109659,COMPLETED
3,2025-04-14T09:39:31,Daniel Souza,4518109659,COMPLETED
4,2025-04-14T07:04:31,Sofia Martins,4518109659,COMPLETED
5,2025-04-14T11:18:31,Marcos Oliveira,4518109659,NOT_COMPLETED
1,2025-08-13T18:24:31,Sofia Martins,4566099146,COMPLETED
2,2025-08-13T17:27:31,Marcos Oliveira,4566099146,NOT_COMPLETED
1,2025-10-19T21:40:56,Carla Mendes,4574576230,COMPLETED
2,2025-10-19T23:36:56,Marcos Oliveira,4574576230,COMPLETED
3,2025-10-19T22:53:56,Amanda Freitas,4574576230,COMPLETED
4,2025-10-20T00:52:56,Fábio Fernandes,4574576230,NOT_COMPLETED
1,2025-01-18T17:35:58,Paulo Henrique,4521450232,COMPLETED
2,2025-01-18T17:12:58,Amanda Freitas,4521450232,COMPLETED
3,2025-01-18T17:00:58,Rafael Duarte,4521450232,COMPLETED
4,2025-01-18T19:58:58,Kelly Santos,4521450232,COMPLETED
5,2025-01-18T22:55:58,Marcos Oliveira,4521450232,COMPLETED
6,2025-01-18T22:48:58,Rafael Duarte,4521450232,NOT_COMPLETED
1,2025-10-17T03:14:01,Julia Ribeiro,4515211193,COMPLETED
2,2025-10-17T05:14:01,Amanda Freitas,4515211193,COMPLETED
3,2025-10-17T05:39:01,Julia Ribeiro,4515211193,COMPLETED
4,2025-10-17T07:12:01,Fábio Fernandes,4515211193,COMPLETED
5,2025-10-17T08:00:01,Kelly Santos,4515211193,COMPLETED
6,2025-10-17T04:18:01,Bruna Costa,4515211193,COMPLETED
7,2025-10-17T10:00:01,Amanda Freitas,4515211193,NOT_COMPLETED
1,2025-12-18T19:50:38,Marcos Oliveira,4571871761,COMPLETED
2,2025-12-18T21:04:38,Amanda Freitas,4571871761,COMPLETED
3,2025-12-18T18:54:38,Kelly Santos,4571871761,COMPLETED
4,2025-12-18T22:44:38,Fábio Fernandes,4571871761,NOT_COMPLETED
1,2025-04-17T10:46:42,Gabriel Rocha,4584171129,COMPLETED
2,2025-04-17T12:08:42,Julia Ribeiro,4584171129,COMPLETED
3,2025-04-17T12:24:42,Gabriel Rocha,4584171129,COMPLETED
4,2025-04-17T14:06:42,Paulo Henrique,4584171129,COMPLETED
5,2025-04-17T12:38:42,Ana Lima,4584171129,COMPLETED
6,2025-04-17T09:48:42,Fábio Fernandes,4584171129,COMPLETED
7,2025-04-17T18:45:42,Daniel Souza,4584171129,COMPLETED
8,2025-04-17T14:54:42,Bruna Costa,4584171129,NOT_COMPLETED
1,2025-09-13T18:45:50,Tiago Nunes,4509005198,COMPLETED
2,2025-09-13T19:08:50,Kelly Santos,4509005198,COMPLETED
3,2025-09-13T21:35:50,Tiago Nunes,4509005198,COMPLETED
4,2025-09-13T23:50:50,Kelly Santos,4509005198,COMPLETED
5,2025-09-13T20:51:50,Caio Gonçalves,4509005198,COMPLETED
6,2025-09-13T22:44:50,Paulo Henrique,4509005198,COMPLETED
7,2025-09-13T21:42:50,Gabriel Rocha,4509005198,COMPLETED
8,2025-09-14T05:38:50,Sofia Martins,4509005198,COMPLETED
9,2025-09-14T03:44:50,Sofia Martins,4509005198,COMPLETED
10,2025-09-14T08:16:50,Paulo Henrique,4509005198,COMPLETED
11,2025-09-13T21:11:50,Ana Lima,4509005198,NOT_COMPLETED
1,2025-01-19T09:43:27,Marcos Oliveira,4538075332,COMPLETED
2,2025-01-19T10:46:27,Kelly Santos,4538075332,COMPLETED
3,2025-01-19T10:41:27,Caio Gonçalves,4538075332,COMPLETED
4,2025-01-19T11:16:27,Ana Lima,4538075332,NOT_COMPLETED
1,2025-09-21T07:26:16,Fábio Fernandes,4583101504,COMPLETED
2,2025-09-21T06:56:16,Tiago Nunes,4583101504,COMPLETED
3,2025-09-21T07:29:16,Sofia Martins,4583101504,COMPLETED
4,2025-09-21T07:20:16,Kelly Santos,4583101504,COMPLETED
5,2025-09-21T11:50:16,Daniel Souza,4583101504,COMPLETED
6,2025-09-21T07:20:16,Daniel Souza,4583101504,COMPLETED
7,2025-09-21T13:48:16,Tiago Nunes,4583101504,COMPLETED
8,2025-09-21T09:16:16,Ana Lima,4583101504,COMPLETED
9,2025-09-21T14:08:16,Paulo Henrique,4583101504,NOT_COMPLETED
1,2025-10-04T04:00:43,Caio Gonçalves,4507089449,NOT_COMPLETED
1,2025-10-01T10:08:19,Carla Mendes,4533825438,COMPLETED
2,2025-10-01T10:05:19,Marcos Oliveira,4533825438,COMPLETED
